company,year,text,be,ce
Apple,2010,"The Company’s business strategy leverages its unique ability to design and develop its own operating systems, hardware, application software, and services to provide its customers new products and solutions with superior ease−of−use, seamless integration, and innovative industrial design.",87,33
Apple,2010,The Company believes continual investment in research and development is critical to the development and enhancement of innovative products and technologies.,87,0
Apple,2010,the Company’s strategy includes expanding its distribution to effectively reach more customers and provide them with a high−quality sales and post−sales support experience.,20,100
Apple,2010,The Company believes a high−quality buying experience with knowledgeable salespersons who can convey the value of the Company’s products and services greatly enhances its ability to attract and retain customers,47,100
Apple,2010,"By operating its own stores and locating them in desirable high−traffic locations, the Company is better positioned to control the customer buying experience and attract new customers.",7,100
Apple,2010,The Company believes providing direct contact with its targeted customers is an effective way to demonstrate the advantages of its products over those of its competitors.,33,87
Apple,2010,"The stores employ experienced and knowledgeable personnel who provide product advice, service and training",7,100
Apple,2010,"The Company has designed a range of products, services and programs to address the needs of education customers,",13,60
Apple,2010,"The Company designs its high−end hardware solutions to incorporate the power, expandability, compatibility and other features desired by these markets.",13,13
Apple,2010,The Company offers a range of personal computing products ,13,0
Apple,2010,"designed to meet the performance, expansion, and networking needs of the most demanding Mac user. ",60,20
Apple,2010,The Company utilizes a variety of direct and indirect distribution channels ,7,13
Apple,2010,"The Company believes that sales of its innovative and differentiated products are enhanced by knowledgeable salespersons who can convey the value of the hardware, software, and peripheral integration, demonstrate the unique digital lifestyle solutions that are available on its products",60,60
Apple,2010,The Company further believes providing direct contact with its targeted customers is an effective way to demonstrate the advantages of its products over those of its competitors and providing a high−quality sales and after−sales support experience is critical to attracting new and retaining existing customers,27,100
Apple,2010,The Company’s Internet solutions adhere to many industry standards to provide an optimized user experience.,0,87
Apple,2010," Additionally, the Company has invested in programs to enhance reseller sales by placing high quality Apple fixtures, merchandising materials and other resources within selected third−party reseller locations. ",20,0
Apple,2010,"The principal competitive factors include price, product features, relative price/performance, product quality and reliability, design innovation, availability of software and peripherals, marketing and distribution capability, service and support, and corporate reputation.",87,7
Apple,2010,The Company believes it offers superior innovation ,60,0
Apple,2010,"the Company uses some custom components that are not common to the rest of these industries, ",20,0
Apple,2010,The Company continues to develop new products and technologies and to enhance existing products that expand the range of its product offerings ,60,0
Apple,2010," The Company believes it is unique in that it designs and develops nearly the entire solution for its products,",73,0
Apple,2010,"The Company must continually introduce new products, services and technologies, enhance existing products and services, and effectively stimulate customer demand for new and upgraded products. ",47,60
Apple,2010,Certain stores have been designed and built to serve as high−profile venues to promote brand awareness and serve as vehicles for corporate sales and marketing activities ,100,0
Apple,2010,"The Company is committed to bringing the best user experience to its customers through its innovative hardware, software, peripherals, services, and Internet offerings. ",60,47
Apple,2010,"The Company’s business strategy leverages its unique ability to design and develop its own operating systems, hardware, application software, and services to provide its customers new products and solutions with superior ease−of−use, seamless integration, and innovative industrial design.",87,33
Apple,2010,The Company believes continual investment in research and development is critical to the development and enhancement of innovative products and technologies. ,87,0
Apple,2010,The Company is therefore uniquely positioned to offer superior and well−integrated  solutions.,40,20
Apple,2010,"the Company is widely recognized as a leading innovator in the markets where it competes,",87,0
Apple,2010,the Company believes that increased investment in research and development and marketing and advertising is necessary to maintain or expand its position in the markets where it competes,87,0
Apple,2010,Company continues to expand and improve its distribution capabilities by expanding the number of its own retail stores worldwide,20,0
Apple,2010,The Company also believes increased investment in marketing and advertising programs is critical to increasing product and brand awareness.,100,0
Apple,2010,The Company continues to believe that focused investments in R&D are critical to its future growth and competitive position in the marketplace and are directly related to timely development of new and enhanced products that are central to the Company’s core business strategy ,87,0
Apple,2010,The Company has certain retail stores that have been designed and built to serve as high−profile venues to promote brand awareness and serve as vehicles for corporate sales and marketing activities. ,100,7
Apple,2013,"The Company is committed to bringing the best user experience to its customers through its innovative hardware, software and services.",60,47
Apple,2013,"The Company’s business strategy leverages its unique ability to design and develop its own operating systems, hardware, application software, and services to provide its customers new products and solutions with superior ease-of-use, seamless integration, and innovative design",87,33
Apple,2013,"The Company believes continual investment in research and development, marketing and advertising is critical to the development and sale of innovative products and technologies.",87,0
Apple,2013,The Company believes a high-quality buying experience with knowledgeable salespersons who can convey the value of the Company’s products and services greatly enhances its ability to attract and retain customers,47,100
Apple,2013,The Company’s strategy also includes enhancing and expanding its own retail and online stores and its third-party distribution network to effectively reach more customers and provide them with a high-quality sales and post-sales support experience.,20,100
Apple,2013,AppleCare® offers a range of support options for the Company’s customers.,33,100
Apple,2013,"The Company also employs a variety of indirect distribution channels,",20,0
Apple,2013,"The Company believes that sales of its innovative and differentiated products are enhanced by knowledgeable salespersons who can convey the value of the hardware and software integration, and demonstrate the unique solutions that are available on its products",60,60
Apple,2013,The Company further believes providing direct contact with its targeted customers is an effective way to demonstrate the advantages of its products over those of its competitors and providing a high-quality sales and after-sales support experience is critical to attracting new and retaining existing customers.,27,100
Apple,2013,"To ensure a high-quality buying experience for its products in which service and education are emphasized, the Company continues to expand and improve its distribution capabilities by expanding the number of its own retail stores worldwide",20,100
Apple,2013,the Company is better positioned to ensure a high quality customer buying experience and attract new customers. ,20,73
Apple,2013,The stores are designed to simplify and enhance the presentation and marketing of the Company’s products and related solutions.,33,0
Apple,2013,"The retail stores employ experienced and knowledgeable personnel who provide product advice, service and training",7,100
Apple,2013,"Through the Apple Premium Reseller Program, certain third-party resellers focus on the Apple platform by providing a high level of product expertise, integration and support services. ",60,33
Apple,2013,"Principal competitive factors important to the Company include price, product features, relative price/performance, product quality and reliability, design innovation, a strong third-party software and peripherals ecosystem, marketing and distribution capability, service and support, and corporate reputation.",100,7
Apple,2013,The Company’s future financial condition and operating results depend on the Company’s ability to continue to develop and offer new innovative products and services in each of the markets in which it competes,60,0
Apple,2013,"The Company continues to develop new technologies to enhance existing products and to expand the range of its product offerings through research and development, ",60,0
Apple,2013,"Although the Company believes the ownership of such patents, copyrights, trademarks and service marks is an important factor in its business and that its success does depend in part on the ownership thereof, the Company relies primarily on the innovative skills, technical competence and marketing abilities of its personnel.",60,0
Apple,2013,The Company’s ability to compete successfully depends heavily on its ability to ensure a continuing and timely introduction of innovative new products and technologies to the marketplace.,60,7
Apple,2013,"The Company believes it is unique in that it designs and develops nearly the entire solution for its products, including the hardware, operating system, numerous software applications, and related services",73,0
Apple,2013,the Company must make significant investments in research and development,87,0
Apple,2013,"The Company currently holds a significant number of patents and copyrights and has registered and/or has applied to register numerous patents, trademarks and service marks",60,0
Apple,2013,"the Company must continually introduce new products, services and technologies, enhance existing products and services, and effectively stimulate customer demand for new and upgraded products.",47,60
Apple,2013,Certain stores have been designed and built to serve as high-profile venues to promote brand awareness and serve as vehicles for corporate sales and marketing activities.,100,7
Apple,2013,"To help protect customers and the Company, the Company monitors accounts and systems for unusual activity and may freeze accounts under suspicious circumstances, which may result in the delay or loss of customer orders.",0,47
Apple,2013,"The Company continues to believe that focused investments in R&D are critical to its future growth and competitive position in the marketplace and are directly related to timely development of new and enhanced products that are central to the Company’s core business strategy. As such, the Company expects to make further investments in R&D to remain competitive.",87,0
McDonald's,2007,The Company's operations are designed to assure consistency and high quality at every restaurant,60,0
McDonald's,2007,The Company has established and strictly enforces high quality standards ,60,7
McDonald's,2007,The Company has quality assurance labs around the world to ensure that our high standards are consistently met. ,60,7
McDonald's,2007," a quality assurance board, composed of the Company's technical, safety and supply chain specialists, provides strategic global leadership for all aspects of food quality and safety",60,0
McDonald's,2007,"the Company works closely with suppliers to encourage innovation, assure best practices and drive continuous improvement. ",33,0
McDonald's,2007,"restaurant personnel are trained in the proper storage, handling and preparation of our products and in the delivery of customer service. ",0,100
McDonald's,2007,McDonald's global brand is well known ,100,0
McDonald's,2007,"Marketing, promotional and public relations activities are designed to promote McDonald's brand image and differentiate the Company from competitors. ",100,0
McDonald's,2007,"Marketing and promotional efforts focus on value, food taste, menu choice and the customer experience. ",0,33
McDonald's,2007,McDonald's tests new products on an ongoing basis. ,20,0
McDonald's,2007,"The Company owns or is licensed to use valuable intellectual property including trademarks, service marks, patents, copyrights, trade secrets and other proprietary information",60,0
McDonald's,2007,"the trademarks McDonald's and The Golden Arches Logo, which are of material importance to the Company's business. ",100,0
McDonald's,2007,"The Company competes on the basis of price, convenience and service and by offering quality food products. ",60,60
McDonald's,2007,"While research and development activities are important to the Company's business, these expenditures are not material ",20,0
McDonald's,2007,Independent suppliers also conduct research activities that benefit the Company ,20,0
McDonald's,2007,By far the most important of these is our ability to remain relevant to our customers and a brand they trust.,100,0
McDonald's,2007,"increasing focus on nutritional content and on the production, processing and preparation of food from field to front counter presents challenges for our Brand",60,7
McDonald's,2007,Our ability to remain a relevant and trusted brand and to increase sales depends largely on how well we execute the Plan to Win.,100,0
McDonald's,2007,The quality of our execution depends mainly on the success of our plans to improve existing products and to roll-out new products and product line extensions,60,0
McDonald's,2007,"The quality of our execution depends mainly on our ability to achieve an overall product mix that differentiates the McDonald's experience and balances consumer value with margin expansion,",60,20
McDonald's,2007,The quality of our execution depends mainly on our ability to  drive restaurant improvements and to motivate our restaurant personnel to achieve sustained high service levels so as to improve consumer perceptions of our ability to meet expectations for quality food served in clean and friendly environments;,0,100
McDonald's,2007,"The quality of our execution depends mainly on the risks to our Brand if a franchisee or licensee defaults in its obligations, particularly requirements to pay royalties, make investments and open new restaurants, or projects a brand image inconsistent with our values,",100,0
McDonald's,2007,The quality of our execution depends mainly on our ongoing restaurant remodeling and rebuilding initiatives are targeted at the elements of the restaurant experience that will best accomplish our goals to enhance the relevance of our Brand ,100,0
McDonald's,2007,The Company identifies and develops sites that offer convenience to customers and long-term sales and profit potential to the Company.,0,20
McDonald's,2007,"We view ourselves primarily as a franchisor and continually review our restaurant ownership mix (that is, our mix among Company-operated, franchised, conventional or developmental license, and affiliated) to deliver a great customer experience and drive profitability",13,60
McDonald's,2007,This business model enables McDonald's to play an integral role in the communities we serve and consistently deliver relevant restaurant experiences to customers.,13,33
McDonald's,2007,it facilitates our ability to implement innovative ideas and profitably grow our business worldwide.,7,7
McDonald's,2007,"Since implementing the customer-centered Plan to Win several years ago, our focus has been on being better, not just bigger. Our strategic alignment behind this plan has created better McDonald's experiences through the execution of multiple initiatives surrounding the five factors of exceptional customer experiences: people, products, place, price and promotion.",13,87
McDonald's,2007,"While our focus has remained the same, we have adapted and evolved our initiatives based on the changing needs and preferences of our customers",0,47
McDonald's,2007,These multiple initiatives have increased our consumer relevance and contributed to sales and guest counts worldwide increasing every year since 2003.,7,7
McDonald's,2007,"we built on our strong performance by focusing on what consumer insights indicate are key drivers of our global business today: convenience, branded affordability, daypart expansion and menu choice.",33,33
McDonald's,2007,our efforts to strengthen employee engagement and optimize efficiency in the drive-thru and at breakfast helped us to better serve even more customers.,0,73
McDonald's,2007,"Our success in Europe was driven by continued execution along three key priorities: upgrading the customer and employee experience, building brand transparency, and enhancing local relevance.",40,47
McDonald's,2007,"we satisfied consumer desire for choice and value with locally-relevant menus that feature a blend of premium sandwiches and salads, classic menu favorites, new products, limited-time food promotions as well as everyday value offerings.",7,60
McDonald's,2007,"we enhanced our convenience by increasing the number of restaurants offering 24-hours or extended hours of service to approximately 4,500.",0,20
McDonald's,2007,We will also continue to provide value and convenience to solidify our connection with consumer lifestyles.,0,33
McDonald's,2007,"In Europe, we plan to strengthen our local relevance using a tiered menu approach featuring premium selections, classic menu favorites and everyday affordable offerings. We will complement these with new products and limited-time food promotions developed in our European food studio. Building greater brand transparency will remain a priority in Europe",60,0
McDonald's,2007,"As part of our efforts to upgrade the customer experience, we will continue remodeling additional restaurants",0,60
McDonald's,2007," We will also continue installing our new kitchen operating system to ensure that we can consistently deliver high food quality, ",20,13
McDonald's,2007,"Convenience initiatives include leveraging the success of 24-hours or extended hours of service, offering delivery service in certain countries and building our drive-thru business,",7,20
McDonald's,2007,"We believe locally-owned and operated restaurants are at the core of our competitive advantage and make us not just a global brand but a locally relevant one. To that end, we continually evaluate ownership structures in our markets to maximize brand performance",100,0
McDonald's,2007,"In the U.S., the increases in revenues in 2007 and 2006 were primarily driven by our market-leading breakfast business and the ongoing appeal of new products, as well as continued focus on everyday value and convenience. ",27,20
McDonald's,2010,The Company's operations are designed to assure consistency and high quality at every restaurant. ,60,0
McDonald's,2010,The Company has established and strictly enforces high quality standards and product specifications. The Company has quality assurance labs around the world to ensure that its high standards are consistently met,60,7
McDonald's,2010," the Company works closely with suppliers to encourage innovation, assure best practices and drive continuous improvement.",33,0
McDonald's,2010,"McDonald's global brand is well known. Marketing, promotional and public relations activities are designed to promote McDonald's brand image and differentiate the Company from competitors. ",100,0
McDonald's,2010,"Marketing and promotional efforts focus on value, food taste, menu choice and the customer experience.",0,33
McDonald's,2010,McDonald's tests new products on an ongoing basis,20,0
McDonald's,2010,"The Company considers the trademarks ""McDonald's"" and ""The Golden Arches Logo"" to be of material importance to its business. ",100,0
McDonald's,2010,"The Company competes on the basis of price, convenience, service, menu variety and product quality in a highly fragmented global restaurant industry.",60,60
McDonald's,2010,research and development activities are important to the Company's business,20,0
McDonald's,2010," Independent suppliers also conduct research activities that benefit the Company,",20,0
McDonald's,2010,"Our business and execution of our strategic plan, the Plan to Win, are subject to risks. The most important of these is our ability to remain relevant to our customers and a brand they trust.",100,0
McDonald's,2010, Meeting customer expectations is complicated by the risks inherent in our operating environment,0,47
McDonald's,2010,Our ability to remain a relevant and trusted brand and to increase sales depends largely on how well we execute the Plan to Win.,100,0
McDonald's,2010,The quality of our execution depends mainly on the following: Our ability to drive restaurant improvements and to motivate our restaurant personnel to achieve sustained high service levels so as to improve consumer perceptions of our ability to meet expectations for quality food served in clean and friendly environments;,0,100
McDonald's,2010,"The quality of our execution depends mainly on the following: Whether our restaurant reimaging and rebuilding efforts, which remain a priority notwithstanding the current challenging economic and operating environment, are targeted at the elements of the restaurant experience that will best accomplish our goals to enhance the relevance of our brand and achieve an efficient allocation of our capital resources",100,0
McDonald's,2010,"The quality of our execution depends mainly on the following: our ability to differentiate the McDonald's experience in a way that balances consumer value with margin expansion,",73,20
McDonald's,2010,The quality of our execution depends mainly on the following: The impact of litigation trends that may affect perceptions of our brand and products,60,0
McDonald's,2010,The Company identifies and develops sites that offer convenience to customers and long-term sales and profit potential to the Company.,0,20
McDonald's,2010," From September 2010 through November 2010, he served as Corporate Executive Vice President and Global Chief Brand Officer.",100,0
McDonald's,2010,"We view ourselves primarily as a franchisor and believe franchising is important to delivering great, locally-relevant customer experiences and driving profitability",13,60
McDonald's,2010,"This business model enables McDonald's to deliver consistent, locally-relevant restaurant experiences to customers",7,27
McDonald's,2010,"it facilitates our ability to identify, implement and scale innovative ideas that meet customers' changing needs and preferences.",7,0
McDonald's,2010,"McDonald's customer-focused Plan to Win—which concentrates on being better, not just bigger—provides a common framework for our global business yet allows for local adaptation",0,60
McDonald's,2010,"Through the execution of initiatives surrounding the five elements of our Plan to Win—People, Products, Place, Price and Promotion—we have enhanced the restaurant experience for customers worldwide and grown comparable sales and customer visits in each of the last seven years",0,60
McDonald's,2010,"we continued to enhance the customer experience by remaining focused on the Company's key global success factors of branded affordability, menu variety and beverage choice, convenience including daypart expansion, ongoing restaurant reinvestment and operations excellence.",33,33
McDonald's,2010,"Complementing these menu offerings were our convenient locations, efficient drive-thru service and value-oriented local beverage promotions. ",7,27
McDonald's,2010," Modernizing the customer experience remained a focus with
the extension of our interior and exterior reimaging program to enhance the appearance and functionality of our restaurants.",33,33
McDonald's,2010,"This performance reflected Europe's strategic priorities of upgrading the customer and employee experience, increasing local relevance, and building brand transparency",60,33
McDonald's,2010,"The expansion of self-order kiosks in France, Germany and Spain and the roll out of the new drive-thru customer order display system in over 3,000 restaurants enhanced service.",0,60
McDonald's,2010,we continued building customer trust in our brand through communications that emphasized the quality and origin of McDonald's food and our sustainable business initiatives.,100,0
McDonald's,2010,"We continue to offer value to our customers by utilizing a strategic menu pricing tool that optimizes price, product mix, and promotions",0,33
McDonald's,2010,"We believe locally-owned and operated restaurants maximize brand performance and are at the core of our competitive advantage, making McDonald's not just a global brand, but also a locally relevant one.",100,0
McDonald's,2010,we intend to further differentiate our brand by striving to become our customers' favorite place and way to eat and drink,60,0
McDonald's,2010,"We will continue growing market share by executing our key strategies in the following areas: optimizing our menu, modernizing the customer experience and broadening our accessibility",0,33
McDonald's,2010,"These efforts will include increasing menu choice, expanding destination beverages and desserts, enhancing our food image, accelerating our interior and exterior reimaging efforts and increasing the level and variety of conveniences provided to our customers.",40,33
McDonald's,2010,We will execute these priorities to increase McDonald's brand relevance,100,0
McDonald's,2010,"our plans to elevate the brand experience encompass updating our technology infrastructure with a new point-of-sale (POS) system, enhancing restaurant manager and crew retention and productivity, and contemporizing the interiors and exteriors of approximately 600 restaurants through reimaging.",100,7
McDonald's,2010,"Our business in Europe will continue to be guided by three strategic priorities: increasing local relevance, upgrading the customer and employee experience, and building brand transparency. ",20,33
McDonald's,2010,Reimaging reinforces the quality of our brand while further differentiating us from the competition,100,0
McDonald's,2010,"We will leverage service innovations with the deployment of technologies such as the new POS system, self-order kiosks, hand-held order devices and drive-thru customer order displays to enhance the customer experience",0,33
McDonald's,2010,We believe there is an opportunity to further build brand transparency by raising customer awareness about our food quality and product sourcing. ,60,0
McDonald's,2010,"In APMEA, we will continue our efforts to become our customers' first choice for eating out by focusing on menu variety, value, restaurant experience and convenience",7,33
McDonald's,2010,Value will continue to be a key growth driver as we reinforce the affordability of our menu to consumers and build on our successful Value Lunch platforms,0,7
McDonald's,2013,The Company’s operations are designed to assure consistency and high quality at every restaurant.,60,0
McDonald's,2013,The Company has established and strictly enforces high quality standards and product specifications. The Company has quality centers around the world to ensure that its high standards are consistently met.,60,7
McDonald's,2013," A quality leadership board, composed of the Company’s technical, safety and supply chain specialists, provides strategic global leadership for all aspects of food quality and safety.",60,0
McDonald's,2013,"In addition, the Company works closely with suppliers to encourage innovation, assure best practices and drive continuous improvement.",13,0
McDonald's,2013,"McDonald’s global brand is well known. Marketing, promotional and public relations activities are designed to promote McDonald’s brand image and differentiate the Company from competitors. ",100,0
McDonald's,2013,"Marketing and promotional efforts focus on value, food taste, menu choice, nutrition, convenience and the customer experience",0,33
McDonald's,2013,McDonald’s tests new products on an ongoing basis.,20,0
McDonald's,2013,"The Company owns or is licensed to use valuable intellectual property including trademarks, service marks, patents, copyrights, trade secrets and other proprietary information",60,0
McDonald's,2013,The Company considers the trademarks “McDonald’s” and “The Golden Arches Logo” to be of material importance to its business.,100,0
McDonald's,2013,"The Company competes on the basis of price, convenience, service, menu variety and product quality in a highly fragmented global restaurant industry.",60,60
McDonald's,2013,"While research and development activities are important to the Company’s business, these expenditures are not material",20,0
McDonald's,2013,Our ability to remain a relevant and trusted brand and to increase sales and profits depends largely on how well we execute the Plan to Win and our global growth priorities.,100,0
McDonald's,2013,"The Plan to Win aligns the McDonald's System around the three global growth priorities that represent our greatest opportunities to drive results - optimizing our menu, modernizing the customer experience and broadening accessibility to our brand in order to remain relevant to our customers",100,40
McDonald's,2013,The quality of our execution depends mainly on the following: Our continued innovation in all aspects of the McDonald's experience to differentiate the McDonald's experience in a way that balances value with margin levels;,60,7
McDonald's,2013,"The quality of our execution depends mainly on the following: The impact of changes to our value menu, which has been and will continue to be an important component of our overall menu strategy",0,40
McDonald's,2013,"The quality of our execution depends mainly on the following: the potential impact on us if they experience food safety or other operational problems or project a brand image inconsistent with our values,",100,0
McDonald's,2013,"The quality of our execution depends mainly on the following: 
Our continued innovation in all aspects of the McDonald's experience to differentiate the McDonald's experience in a way that balances value with margin levels;",60,7
McDonald's,2013,"The quality of our execution depends mainly on the following: The success of our sustainability initiatives to support our brand ambition of good food, good people and good neighbor, ",100,0
McDonald's,2013,he served as Corporate Executive Vice President and Global Chief Brand Officer,100,0
McDonald's,2013,"We view ourselves primarily as a franchisor and believe franchising is important to both delivering great, locally-relevant customer experiences and driving profitability",13,60
McDonald's,2013,"we are able to identify, implement and scale ideas that meet customers' changing needs and preferences",0,60
McDonald's,2013,enables McDonald's to consistently deliver locally-relevant restaurant experiences to customers and be an integral part of the communities we serve.,20,27
McDonald's,2013,"We continue to focus on our three global growth priorities of optimizing our menu, modernizing the customer experience, and broadening accessibility to Brand McDonald's within the framework of our Plan.",40,33
McDonald's,2013,"Our initiatives support these priorities, and are executed with a focus on the Plan's five pillars - People, Products, Place, Price and Promotion - to enhance our customers' experience and build shareholder value over the long term",0,33
McDonald's,2013,"Modernizing the customer experience continued through our reimaging program. During 2013, we completed about 700 restaurant reimages, of which the majority added drive-thru capacity",20,33
McDonald's,2013,"We broadened accessibility by opening 225 new restaurants, extending hours in more restaurants, and improving the efficiency of our drive-thru service with side-by-side or tandem ordering, and hand-held order taking.",0,60
McDonald's,2013,"the U.S. evolved its value proposition with the recent introduction of Dollar Menu & More, which is intended to offer value and variety to our customers at various price points.",7,60
McDonald's,2013," in Germany, where we are working on rebuilding brand relevance to address the current negative guest count trend.",100,0
McDonald's,2013,"In order to continue providing a relevant, contemporary customer experience, Europe completed about 470 restaurant reimages during the year. ",40,27
McDonald's,2013,"We increased our accessibility and convenience by opening 312 new restaurants, extending operating hours and optimizing our drive-thrus.",0,20
McDonald's,2013,We enhanced our value offerings in certain markets with multiple pricing tiers across our menu to appeal to a broad range of customers.,0,47
McDonald's,2013,"We were also committed to enhancing local relevance with consumers, by balancing our global core menu with locally-relevant food and beverage choices, which included new flavor profiles designed to match local tastes.",20,0
McDonald's,2013,we continued to evolve our everyday value platform by including more affordable menu options and promotional offers across dayparts and price points.,0,27
McDonald's,2013,"Our key areas of focus include improving customer perceptions of our food, sustainable sourcing, providing job opportunities and training for our people, developing environmentally efficient restaurants and having a positive impact in the communities we serve.",33,0
McDonald's,2013,We will also adjust the pace of product introductions to improve restaurant operations and marketing execution in order to provide a better customer experience. ,0,33
McDonald's,2013,We will enhance the breakfast experience by emphasizing coffee through high-quality McCafé products paired with delicious foods - both existing and new. Bold new flavor extensions will be introduced to build upon our core and lay the groundwork for future innovations,40,0
McDonald's,2013,"In Europe, we plan to optimize the menu through value menu enhancements, premium menu additions and limited-time offers, and will continue to expand the breakfast daypart by leveraging our strong foundation in coffee",0,40
McDonald's,2013,"To modernize the way we interact with our customers, we plan to leverage the use of technology, such as self-order kiosks and mobile and web ordering. We will focus on broadening accessibility by continuing to extend operating hours, optimizing drive-thrus, and expanding everyday value platforms.",20,47
McDonald's,2013,"APMEA will shift existing value platforms toward more compelling offers that resonate with customers and generate incremental visits, including “mid-tier” options to fill the gap between entry-level options and Extra Value Meals",0,47
McDonald's,2013,"In both years, the increase related to new restaurants reflected our commitment to broaden accessibility to our brand.",60,0
Coca-Cola,2007,"Along with Coca-Cola, which is recognized as the world’s most valuable brand, we market four of the world’s top five nonalcoholic sparkling brands",100,0
Coca-Cola,2007,Our Company owns or licenses more than 450 brands,73,0
Coca-Cola,2007,Beverages bearing trademarks owned by or licensed to us account for approximately 1.5 billion,47,0
Coca-Cola,2007,Success depends on our ability to connect with consumers by providing them with a wide variety of choice,7,60
Coca-Cola,2007,"Goal is to use our Company’s assets—our brands, financial strength, unrivaled distribution system, global reach and the talent and strong commitment of our management and associates—to become more competitive and to accelerate growth",100,7
